feedback,sentiment,topics
"Qutie satisfied with blling, suport",4,"blling, suport"
...Excellent... with pricing,5,pricing
Below average!!! with delivery,2,delivery
"well, Not great tbh with suport, Product Quality",2,"suport, Product Quality"
"Nice support with billing, DELIVERY",4,"billing, DELIVERY"
"Neutral with BILLING, delivry",3,"BILLING, delivry"
"VERY HAPPY with SUPPORT, billng",5,"SUPPORT, billng"
"...Complteely dissatisfied... with product qlty, princing",1,"product qlty, princing"
VERY HAPPY with Ux,5,Ux
...Could beb etter... with Support,2,Support
"Terrible experience!!! with dilivery, billng",1,"dilivery, billng"
"CMOPLETELY DISSATISFIED with UXx, pruduct quality",1,"UXx, pruduct quality"
"Average service with pruduct quality, Pricing",3,"pruduct quality, Pricing"
Not great!!! with delivry,2,delivry
"Okay experience :) with Delivery, support",3,"Delivery, support"
"well, Terrible experience tbh with sapport, PRICING",1,"sapport, PRICING"
"below average with delivry, blling",2,"delivry, blling"
outtsanding service with delivery,5,delivery
Very poor service!!! with billing,1,billing
"Belowa verage with billng, prizing",2,"billng, prizing"
Very poor service with uX,1,uX
"very poor service with delivery, blling",1,"delivery, blling"
"Very happy with delivery, billing",5,"delivery, billing"
nice support with PRICING,4,PRICING
"well, Average service tbh with prizing, dilivery",3,"prizing, dilivery"
...Below average... with uX,2,uX
"Average service with Billing, Product Quality",3,"Billing, Product Quality"
Terrible experience with PRODUCT QUALITY,1,PRODUCT QUALITY
Nice support with suport,4,suport
"well, Very happy tbh with Product Quality",5,Product Quality
Not great with delivry,2,delivry
"very happy with blling, uX",5,"blling, uX"
"well, Nice support tbh with UX, SUPPORT",4,"UX, SUPPORT"
Not greta with pruduct quality,2,pruduct quality
"Outtsanding service with pruduct quality, BILLING",5,"pruduct quality, BILLING"
"COULD BE BETTER with UXx, delivry",2,"UXx, delivry"
Excellent with princing,5,princing
"...Excellent... with sapport, product quality",5,"sapport, product quality"
"COMPLETELY DISSTAISFIED with PRICING, product qlty",1,"PRICING, product qlty"
"well, Very poor service tbh with uX",1,uX
"could be better with ux, dilivery",2,"ux, dilivery"
outstanding esrvice with PRODUCT QUALITY,5,PRODUCT QUALITY
"well, Terrible experience tbh with SUPPORT",1,SUPPORT
